Gens;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations
125;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20970,66667;1491,198474;1875000;22863,33333;1253,656873;1875000
126;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;20985,33333;1482,762587;1890000;22886,66667;1254,520714;1890000
127;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21022,66667;1467,385278;1905000;22893,33333;1253,510626;1905000
128;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21034,66667;1464,103214;1920000;22900;1255,122836;1920000
129;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21066,66667;1435,022261;1935000;22903,33333;1257,108676;1935000
130;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21108;1443,861489;1950000;22913,33333;1258,235096;1950000
131;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21148;1437,160163;1965000;22916,66667;1257,002608;1965000
132;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21181,33333;1436,91274;1980000;22916,66667;1257,002608;1980000
133;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21212;1413,832616;1995000;22916,66667;1257,002608;1995000
134;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21221,33333;1419,041304;2010000;22923,33333;1257,691889;2010000
135;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21234,66667;1418,402231;2025000;22933,33333;1259,717781;2025000
136;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21273,33333;1411,980485;2040000;22943,33333;1264,036743;2040000
137;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21298,66667;1407,266223;2055000;22950;1265,372146;2055000
138;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21314,66667;1414,373202;2070000;22950;1265,372146;2070000
139;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21320;1411,476768;2085000;22953,33333;1266,68421;2085000
140;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21322,66667;1409,262061;2100000;22953,33333;1266,68421;2100000
141;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21334,66667;1402,140586;2115000;22953,33333;1266,68421;2115000
142;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21346,66667;1391,529933;2130000;22956,66667;1265,881335;2130000
143;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21388;1377,33656;2145000;22960;1265,596039;2145000
144;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21405,33333;1374,810856;2160000;22960;1265,596039;2160000
145;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21416;1362,45269;2175000;22963,33333;1264,24769;2175000
146;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21444;1347,317335;2190000;22963,33333;1264,24769;2190000
147;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21470,66667;1326,325584;2205000;22970;1263,896093;2205000
148;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21502,66667;1301,586041;2220000;22980;1264,225718;2220000
149;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21534,66667;1269,592411;2235000;22986,66667;1262,20266;2235000
150;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21569,33333;1235,256878;2250000;23000;1262,00898;2250000
